AAC,20010911,0.84,0.9,0.84,0.85,1520105
AAT,20010911,0.355,0.365,0.355,0.355,1406770
ABC,20010911,0.75,0.75,0.73,0.73,516085
ABG,20010911,2.09,2.11,2.09,2.11,13250
ABI,20010911,1.19,1.19,1.16,1.17,123871
ABS,20010911,6.69,6.69,6.49,6.49,3080
ACC,20010911,0.025,0.026,0.021,0.026,536150
ACE,20010911,0.225,0.24,0.22,0.22,200647
ADA,20010911,1.3,1.3,1.24,1.27,64775
ADB,20010911,6.49,6.65,6.49,6.65,83423
ADM,20010911,0.049,0.049,0.049,0.049,20000
ADP,20010911,2.52,2.53,2.51,2.52,667064
ADR,20010911,0.037,0.037,0.037,0.037,600126
ADT,20010911,1.35,1.35,1.35,1.35,20000
ADU,20010911,0.12,0.12,0.12,0.12,10000
ADX,20010911,0.205,0.205,0.205,0.205,6000
ADZ,20010911,2.19,2.22,2.17,2.2,281540
AEN,20010911,0.235,0.235,0.235,0.235,10000
AEO,20010911,1.95,1.98,1.9,1.95,309108
AES,20010911,0.4,0.4,0.4,0.4,2000
AET,20010911,2.3,2.3,2.22,2.22,10838
AEX,20010911,0.17,0.17,0.165,0.17,79000
AFF,20010911,0.27,0.27,0.27,0.27,11099
AFI,20010911,3.01,3.1,3.01,3.08,165916
AGG,20010911,60,62,60,62,161
AGH,20010911,0.7,0.71,0.7,0.71,151990
AGL,20010911,8.8,8.98,8.77,8.937,1328823
AGM,20010911,0.046,0.046,0.045,0.045,462000
AGT,20010911,0.91,0.91,0.91,0.91,2640
AGX,20010911,0.28,0.28,0.28,0.28,38702
AGY,20010911,0.52,0.52,0.49,0.51,180515
AGZ,20010911,0.009,0.009,0.007,0.008,2385756
AHD,20010911,1.87,1.91,1.87,1.91,18113
AIA,20010911,3.21,3.21,3.19,3.19,1000
AIE,20010911,0.15,0.15,0.145,0.145,68319
AIG,20010911,0.098,0.1,0.098,0.1,15800
AIP,20010911,1.04,1.04,1.03,1.03,626603
AIX,20010911,1.57,1.57,1.52,1.54,184001
AIZ,20010911,0.8,0.83,0.74,0.75,649635
AJL,20010911,0.94,0.94,0.93,0.93,11000
AKC,20010911,2.85,2.9,2.75,2.75,214306
AKD,20010911,0.019,0.02,0.019,0.02,65000
ALK,20010911,0.19,0.19,0.18,0.18,173504
ALL,20010911,6.95,7.02,6.92,7,1078014
ALN,20010911,3.54,3.55,3.4,3.46,153294
ALU,20010911,4.37,4.62,4.37,4.6,155466
ALZ,20010911,1.53,1.53,1.52,1.53,237620
AMC,20010911,6.17,6.28,6.12,6.12,1655548
AMG,20010911,0.14,0.14,0.14,0.14,23880
AMH,20010911,1.6,1.62,1.6,1.62,246768
AML,20010911,0.77,0.77,0.76,0.76,29800
AMP,20010911,19.02,19.29,19.02,19.1,1410560
AMU,20010911,0.125,0.125,0.12,0.12,45000
ANL,20010911,0.802,0.82,0.79,0.81,154593
ANM,20010911,1.18,1.18,1.11,1.15,397604
ANZ,20010911,16.385,16.5,16.36,16.39,2490185
AOE,20010911,0.14,0.14,0.14,0.14,12000
AOF,20010911,1.23,1.27,1.23,1.23,858228
AOG,20010911,1.45,1.46,1.45,1.45,12800
APA,20010911,2.47,2.47,2.45,2.45,158739
APE,20010911,3.95,3.95,3.95,3.95,8300
APG,20010911,0.12,0.12,0.12,0.12,312140
API,20010911,2.54,2.54,2.5,2.53,36000
APN,20010911,4.11,4.21,4.1,4.2,289232
APY,20010911,0.45,0.45,0.44,0.445,123502
AQL,20010911,0.046,0.046,0.046,0.046,80000
AQP,20010911,8.25,8.3,8.25,8.26,3722
ARA,20010911,0.25,0.265,0.21,0.24,93054
ARG,20010911,3.95,3.99,3.93,3.95,80429
ARL,20010911,0.35,0.355,0.34,0.35,302729
ARP,20010911,9,9,9,9,2150
ARQ,20010911,0.1,0.1,0.096,0.1,320334
ART,20010911,1.38,1.38,1.36,1.36,1060422
ARX,20010911,0.027,0.028,0.027,0.028,14980
ASB,20010911,1.08,1.08,1.06,1.08,514800
ASC,20010911,0.135,0.14,0.13,0.14,140277
ASL,20010911,0.095,0.095,0.095,0.095,2116
ASP,20010911,0.056,0.056,0.056,0.056,39432
ASX,20010911,11.9,12.29,11.86,12.18,688179
ATE,20010911,0.13,0.13,0.13,0.13,73192
ATN,20010911,0.015,0.016,0.015,0.016,100641
ATP,20010911,0.27,0.27,0.26,0.26,37500
ATR,20010911,0.59,0.59,0.59,0.59,38000
ATT,20010911,0.08,0.08,0.075,0.075,105000
ATX,20010911,0.09,0.09,0.085,0.09,147500
ATY,20010911,0.03,0.03,0.023,0.024,40000
AUD,20010911,1.4,1.44,1.4,1.4,60394
AUG,20010911,0.125,0.13,0.125,0.13,227850
AUM,20010911,0.03,0.03,0.03,0.03,49500
AUN,20010911,0.36,0.38,0.35,0.38,204549
AUO,20010911,0.305,0.31,0.305,0.305,111151
AUY,20010911,0.6,0.63,0.6,0.63,107050
AVA,20010911,0.013,0.013,0.013,0.013,25000
AVJ,20010911,0.82,0.82,0.82,0.82,2000
AVR,20010911,0.165,0.165,0.165,0.165,85085
AVT,20010911,0.063,0.069,0.061,0.069,106677
AWB,20010911,3.656,3.74,3.63,3.63,291866
AWE,20010911,0.485,0.49,0.48,0.49,32947
AXA,20010911,2.736,2.77,2.73,2.74,743467
AXN,20010911,0.71,0.71,0.69,0.69,109856
AYO,20010911,0.78,0.78,0.77,0.77,89850
AZE,20010911,0.023,0.024,0.023,0.024,35000
AZL,20010911,0.028,0.028,0.028,0.028,114000
AZR,20010911,0.05,0.05,0.05,0.05,200000
BAH,20010911,0.085,0.085,0.085,0.085,5477
BAR,20010911,0.24,0.24,0.22,0.22,81610
BAY,20010911,10.2,10.45,10.2,10.2,6385
BBB,20010911,0.1,0.1,0.1,0.1,100000
