AAA,19980813,1.8,1.82,1.73,1.75,888832
AAP,19980813,2.93,3,2.9,2.9,214700
AAR,19980813,0.021,0.021,0.021,0.021,12500
AAV,19980813,1.09,1.09,1.05,1.05,1000
ABC,19980813,0.81,0.81,0.8,0.81,143303
ABD,19980813,0.045,0.045,0.045,0.045,10000
ABF,19980813,3.02,3.1,3.02,3.03,2396
ABG,19980813,1.96,1.96,1.95,1.96,15000
ABN,19980813,0.9,0.9,0.9,0.9,14000
ACY,19980813,0.9,0.93,0.9,0.93,60000
ADB,19980813,5.55,5.55,5.5,5.52,59379
ADF,19980813,0.071,0.071,0.071,0.071,20000
ADH,19980813,0.27,0.27,0.27,0.27,3400
ADM,19980813,0.05,0.05,0.05,0.05,5787
ADV,19980813,0.06,0.06,0.06,0.06,30000
ADX,19980813,0.355,0.355,0.35,0.35,71000
ADZ,19980813,2.6,2.63,2.6,2.6,248833
AFF,19980813,0.27,0.27,0.27,0.27,1164
AFI,19980813,2.5,2.56,2.5,2.52,300851
AFK,19980813,0.097,0.099,0.085,0.085,1130921
AGH,19980813,0.68,0.68,0.67,0.68,2164893
AGL,19980813,9.892,9.92,9.75,9.782,697819
AGM,19980813,0.052,0.052,0.052,0.052,10000
AGR,19980813,0.5,0.53,0.5,0.53,221500
AGS,19980813,0.017,0.017,0.016,0.016,550000
AHA,19980813,11.4,11.4,11.31,11.35,10044
AHD,19980813,4,4,3.95,3.95,5300
AHX,19980813,1.18,1.18,1.17,1.18,366700
AIE,19980813,0.12,0.12,0.12,0.12,118000
AIU,19980813,0.045,0.045,0.045,0.045,25000
AIX,19980813,2,2,1.9,1.9,94484
AIZ,19980813,1.8,1.8,1.7,1.7,9697
AJO,19980813,1.96,1.99,1.96,1.99,23805
AJR,19980813,0.89,0.89,0.88,0.88,593377
AJS,19980813,1.03,1.03,1.02,1.02,113600
AKC,19980813,4.05,4.05,4.01,4.01,108165
AKL,19980813,0.155,0.16,0.15,0.15,28814
ALA,19980813,0.68,0.68,0.67,0.67,10200
ALK,19980813,0.29,0.29,0.28,0.28,30000
ALL,19980813,3.78,3.8,3.78,3.8,195100
ALO,19980813,0.7,0.71,0.69,0.71,120000
ALZ,19980813,1.1,1.1,1.04,1.04,962800
AMC,19980813,6.78,6.82,6.64,6.67,1328395
AMI,19980813,0.12,0.13,0.12,0.13,322014
AML,19980813,1.7,1.7,1.58,1.58,71300
AMP,19980813,21.75,21.85,21.38,21.7,4164013
AMS,19980813,0.09,0.09,0.09,0.09,32000
AMW,19980813,23.5,23.5,22.5,22.5,963
ANC,19980813,3.4,3.4,3.4,3.4,900
ANE,19980813,2.12,2.12,2.12,2.12,1500
ANI,19980813,0.77,0.77,0.73,0.74,335092
ANL,19980813,3.4,3.4,3.34,3.35,48399
ANZ,19980813,9.841,9.841,9.52,9.66,5082689
AOF,19980813,1.22,1.23,1.22,1.22,1676446
AOG,19980813,1.28,1.28,1.28,1.28,3800
AOV,19980813,0.05,0.05,0.05,0.05,40000
APF,19980813,1.49,1.49,1.48,1.48,752507
APG,19980813,0.047,0.047,0.047,0.047,55000
API,19980813,2.3,2.3,2.3,2.3,52826
APN,19980813,2.09,2.1,2.07,2.07,1115069
APW,19980813,2.8,2.8,2.71,2.71,1500
APY,19980813,1.06,1.06,1.06,1.06,32400
AQS,19980813,0.45,0.45,0.45,0.45,5000
ARA,19980813,0.44,0.44,0.44,0.44,226
ARC,19980813,0.14,0.15,0.14,0.15,87950
ARG,19980813,3.1,3.14,3.05,3.08,152615
ARK,19980813,0.11,0.11,0.11,0.11,500
ARL,19980813,2.209,2.3,2.2,2.28,1874228
ARO,19980813,1.1,1.1,1.1,1.1,3000
