AAC,20050512,1.34,1.375,1.335,1.36,394898
AAE,20050512,0.24,0.24,0.23,0.24,52500
AAM,20050512,0.215,0.225,0.215,0.225,86700
AAQ,20050512,0.68,0.68,0.675,0.675,8550
AAR,20050512,0.022,0.024,0.022,0.024,694000
AAT,20050512,0.185,0.185,0.185,0.185,85872
AAU,20050512,0.8,0.8,0.74,0.75,1373298
ABB,20050512,5.46,5.5,5.42,5.5,23749
ABC,20050512,1.515,1.55,1.515,1.52,670405
ABI,20050512,0.12,0.12,0.115,0.12,1273075
ABP,20050512,1.34,1.345,1.34,1.34,624273
ABQ,20050512,0.25,0.3,0.24,0.255,497050
ABS,20050512,5.3,5.3,5.24,5.24,600871
ACL,20050512,0.55,0.55,0.495,0.54,64300
ACR,20050512,0.48,0.5,0.46,0.5,75000
ACU,20050512,0.135,0.135,0.13,0.13,10000
ADA,20050512,0.285,0.285,0.285,0.285,6067
ADB,20050512,10.2,10.24,10.18,10.22,398844
ADG,20050512,3.51,3.51,3.51,3.51,3000
ADI,20050512,0.24,0.26,0.24,0.245,80040
ADK,20050512,0.055,0.058,0.055,0.058,200000
ADL,20050512,0.13,0.13,0.13,0.13,43768
ADN,20050512,0.2,0.21,0.2,0.21,66563
ADU,20050512,0.45,0.47,0.45,0.45,191800
ADY,20050512,0.125,0.13,0.12,0.125,2059179
ADZ,20050512,1.785,1.795,1.78,1.79,106878
AEC,20050512,1.84,1.84,1.83,1.83,17000
AED,20050512,0.6,0.6,0.58,0.595,255345
AEI,20050512,0.49,0.49,0.46,0.48,27000
AEN,20050512,0.94,0.94,0.92,0.92,60838
AEO,20050512,1.655,1.675,1.655,1.675,40035
AET,20050512,0.235,0.275,0.235,0.275,20000
AEU,20050512,1.38,1.38,1.35,1.37,68050
AEX,20050512,0.038,0.038,0.036,0.037,502500
AFC,20050512,0.73,0.73,0.73,0.73,5000
AFI,20050512,3.58,3.61,3.56,3.61,238239
AFS,20050512,0.079,0.079,0.079,0.079,25500
AFT,20050512,0.016,0.017,0.014,0.016,2455500
AGC,20050512,1.26,1.3,1.26,1.3,21000
AGG,20050512,8.15,8.15,8.15,8.15,140
AGI,20050512,0.5,0.53,0.48,0.53,194750
AGL,20050512,13.96,14,13.81,13.81,1063865
AGM,20050512,0.12,0.12,0.115,0.12,986383
AGS,20050512,0.049,0.051,0.049,0.05,637177
AGX,20050512,0.305,0.33,0.3,0.32,376578
AGY,20050512,0.052,0.052,0.05,0.05,256000
AGZ,20050512,0.2,0.2,0.2,0.2,2500
AHC,20050512,2.5,2.5,2.5,2.5,3750
AHD,20050512,3.88,3.98,3.88,3.98,55086
AHG,20050512,0.06,0.064,0.06,0.064,362500
AHO,20050512,0.67,0.67,0.66,0.67,75400
AHS,20050512,1.155,1.17,1.15,1.165,73100
AHU,20050512,3.7,3.7,3.7,3.7,7800
AIA,20050512,1.87,1.9,1.87,1.9,154200
AII,20050512,0.215,0.215,0.2,0.2,46121
AIM,20050512,0.053,0.056,0.053,0.054,3094522
AIX,20050512,2.3,2.34,2.29,2.32,1477800
AIZ,20050512,1.275,1.29,1.23,1.23,28178
AJL,20050512,1.61,1.61,1.6,1.6,45000
AKD,20050512,0.011,0.011,0.011,0.011,1230415
ALD,20050512,0.235,0.25,0.235,0.25,328846
ALE,20050512,0.05,0.05,0.05,0.05,14000
ALK,20050512,0.17,0.17,0.17,0.17,70916
ALL,20050512,9.9,10.06,9.85,10.06,1175934
ALN,20050512,9.46,9.47,9.25,9.32,1282978
ALR,20050512,1.14,1.145,1.135,1.135,21000
ALS,20050512,7.06,7.06,6.87,6.92,192470
ALT,20050512,0.053,0.054,0.04,0.04,93500
ALU,20050512,0.23,0.26,0.23,0.26,6000
ALZ,20050512,1.425,1.425,1.415,1.42,3040498
AMC,20050512,6.46,6.69,6.42,6.6,6376633
AMG,20050512,0.032,0.032,0.031,0.031,300000
AMH,20050512,0.46,0.46,0.455,0.46,67069
AML,20050512,0.41,0.41,0.41,0.41,20500
AMM,20050512,0.16,0.165,0.16,0.165,1032000
AMP,20050512,6.7,6.93,6.67,6.88,11838326
AMU,20050512,0.65,0.655,0.645,0.65,186203
AND,20050512,0.11,0.115,0.096,0.105,5890106
ANE,20050512,3.17,3.25,3.15,3.25,47797
ANG,20050512,0.3,0.31,0.3,0.31,13789
ANM,20050512,0.01,0.011,0.01,0.01,1759400
ANN,20050512,9.38,9.58,9.35,9.47,535611
ANO,20050512,0.11,0.11,0.1,0.105,200069
ANP,20050512,0.041,0.041,0.039,0.04,150000
ANZ,20050512,21.71,22.02,21.71,22.02,4587046
AOE,20050512,0.305,0.31,0.295,0.31,175425
APA,20050512,3.69,3.7,3.61,3.67,104796
APG,20050512,0.038,0.039,0.038,0.039,154834
API,20050512,2.87,2.92,2.84,2.91,285792
APL,20050512,0.225,0.225,0.225,0.225,575
APN,20050512,4.8,4.83,4.77,4.81,1047939
APR,20050512,2.06,2.06,2.06,2.06,5000
APZ,20050512,0.195,0.2,0.195,0.195,230801
AQA,20050512,2.05,2.05,2.05,2.05,5960
AQL,20050512,0.034,0.034,0.034,0.034,100000
AQP,20050512,5.85,5.91,5.85,5.9,43588
ARA,20050512,0.34,0.36,0.34,0.36,42721
ARE,20050512,0.235,0.235,0.225,0.225,50216
ARG,20050512,5.4,5.4,5.37,5.38,89001
ARP,20050512,3.19,3.23,3.15,3.16,82422
ARQ,20050512,1.77,1.8,1.75,1.8,434793
ARU,20050512,0.16,0.16,0.16,0.16,10000
ARW,20050512,0.995,1,0.99,1,234476
ARX,20050512,0.049,0.049,0.049,0.049,196000
ARZ,20050512,0.25,0.25,0.25,0.25,26000
ASB,20050512,1.53,1.66,1.53,1.61,436349
ASL,20050512,0.66,0.675,0.66,0.675,41264
ASQ,20050512,0.4,0.4,0.4,0.4,500
ASU,20050512,0.016,0.016,0.015,0.015,3143186
ASV,20050512,0.1,0.11,0.1,0.1,65000
ASX,20050512,20.06,20.2,19.97,19.97,195283
ASZ,20050512,0.425,0.425,0.425,0.425,27251
ATN,20050512,0.11,0.11,0.11,0.11,1800
ATP,20050512,0.205,0.215,0.205,0.215,107000
ATX,20050512,0.049,0.052,0.049,0.052,338075
ATZ,20050512,0.13,0.135,0.13,0.135,20000
AUH,20050512,0.052,0.052,0.052,0.052,1500
AUI,20050512,5.3,5.3,5.3,5.3,3995
AUL,20050512,0.015,0.015,0.015,0.015,370000
AUN,20050512,0.85,0.85,0.83,0.85,93412
AUO,20050512,1.28,1.285,1.28,1.285,13541
AUT,20050512,0.27,0.27,0.27,0.27,186500
AUV,20050512,0.185,0.185,0.185,0.185,14341
AUW,20050512,0.875,0.895,0.875,0.895,374102
AUX,20050512,0.038,0.038,0.038,0.038,170420
AUZ,20050512,0.033,0.034,0.031,0.033,923880
AVA,20050512,0.042,0.042,0.042,0.042,22000
AVE,20050512,1.4,1.4,1.4,1.4,13600
AVJ,20050512,1.25,1.26,1.23,1.245,361355
AVM,20050512,0.425,0.425,0.4,0.4,225500
AVO,20050512,0.34,0.35,0.34,0.35,655505
AVR,20050512,0.81,0.82,0.79,0.8,50073
AVS,20050512,0.32,0.32,0.28,0.29,109306
AVU,20050512,0.31,0.31,0.3,0.3,400000
AVV,20050512,0.96,0.97,0.95,0.95,131550
AVX,20050512,0.145,0.145,0.14,0.14,478285
AWB,20050512,4.3,4.34,4.25,4.34,749605
AWC,20050512,5.69,5.7,5.64,5.66,5190354
AWE,20050512,1.67,1.67,1.64,1.65,683504
AWP,20050512,2.6,2.85,2.6,2.6,177646
AXA,20050512,4.2,4.4,4.2,4.4,3017721
AXC,20050512,0.095,0.1,0.095,0.1,79000
AXM,20050512,0.115,0.115,0.11,0.11,25000
AXO,20050512,0.205,0.205,0.205,0.205,200000
AZA,20050512,0.61,0.61,0.6,0.61,499000
AZC,20050512,0.175,0.18,0.175,0.18,69979
AZR,20050512,0.23,0.23,0.225,0.225,843770
AZZ,20050512,0.49,0.51,0.48,0.49,121000
BAR,20050512,0.12,0.12,0.115,0.12,205000
BAS,20050512,0.125,0.13,0.125,0.13,245137
BAX,20050512,5.1,5.1,5.06,5.06,8570
BBB,20050512,0.39,0.39,0.385,0.39,92878
BBG,20050512,11.65,11.83,11.6,11.7,916365
BBL,20050512,0.125,0.125,0.125,0.125,3400
BCA,20050512,2.58,2.65,2.58,2.6,416533
BCD,20050512,0.36,0.36,0.35,0.355,1129076
BCL,20050512,0.205,0.205,0.2,0.2,163317
BDG,20050512,1.095,1.11,1.07,1.11,308550
BDI,20050512,0.26,0.27,0.26,0.27,20202
BDL,20050512,0.072,0.072,0.068,0.068,102485
BDM,20050512,0.47,0.47,0.47,0.47,3000
BDS,20050512,2.8,2.81,2.77,2.81,12645
BEN,20050512,9.2,9.26,9.12,9.15,368414
BER,20050512,0.52,0.525,0.52,0.525,11500
BGD,20050512,0.255,0.255,0.245,0.255,155000
BGF,20050512,0.21,0.22,0.205,0.22,1404243
BGN,20050512,0.038,0.038,0.036,0.036,376000
BHP,20050512,16.36,16.44,16.29,16.29,16484843
BIL,20050512,7.8,7.95,7.8,7.95,7294198
BIT,20050512,0.15,0.155,0.135,0.135,50000
BJT,20050512,1.155,1.155,1.145,1.145,1530709
BKA,20050512,0.25,0.25,0.25,0.25,320
BKI,20050512,1.035,1.05,1.03,1.035,403600
BKL,20050512,12.9,12.9,12.6,12.6,3350
BKM,20050512,0.01,0.01,0.01,0.01,100000
BKN,20050512,2.25,2.25,2.19,2.22,453153
BKS,20050512,0.012,0.012,0.012,0.012,2232594
BKW,20050512,9.3,9.3,9.1,9.25,32396
BLD,20050512,5.83,5.83,5.75,5.81,2505368
BLN,20050512,0.1,0.1,0.1,0.1,630220
BLT,20050512,0.16,0.17,0.155,0.17,39000
BLZ,20050512,0.064,0.064,0.064,0.064,42000
BMN,20050512,0.335,0.4,0.335,0.39,280300
BMO,20050512,0.24,0.24,0.24,0.24,41333
BMX,20050512,0.145,0.145,0.145,0.145,180500
BNB,20050512,9.2,9.25,9.15,9.19,427130
BNO,20050512,0.15,0.155,0.15,0.15,84000
BNT,20050512,0.165,0.165,0.16,0.16,45000
BOC,20050512,0.6,0.61,0.6,0.6,80036
BOL,20050512,1.825,1.84,1.82,1.825,129475
BOQ,20050512,10.8,10.98,10.78,10.97,278920
BOS,20050512,0.17,0.17,0.17,0.17,25000
BPC,20050512,0.86,0.86,0.85,0.855,6994538
BPG,20050512,0.052,0.052,0.052,0.052,55334
BPO,20050512,0.04,0.04,0.039,0.039,1847700
BPT,20050512,0.54,0.545,0.53,0.53,258952
BQT,20050512,0.195,0.2,0.195,0.195,171020
BRT,20050512,0.09,0.09,0.085,0.085,84001
BRW,20050512,0.031,0.031,0.031,0.031,9000
BRZ,20050512,1.755,1.8,1.74,1.79,123783
BSA,20050512,0.27,0.27,0.27,0.27,500
BSG,20050512,0.48,0.485,0.48,0.485,210000
BSL,20050512,7.86,8.04,7.86,7.92,4686842
BSO,20050512,2.37,2.37,2.34,2.34,22014
BTA,20050512,0.415,0.425,0.415,0.425,90956
BTV,20050512,0.023,0.024,0.022,0.023,534845
BTX,20050512,0.69,0.69,0.69,0.69,7070
BUG,20050512,0.62,0.62,0.605,0.605,47533
BUY,20050512,0.063,0.064,0.062,0.064,916530
BWP,20050512,1.77,1.77,1.745,1.76,432231
BXP,20050512,0.215,0.215,0.21,0.21,105000
CAA,20050512,1.67,1.7,1.66,1.68,62678
CAB,20050512,4.06,4.14,4.06,4.08,18632
CAG,20050512,0.039,0.039,0.038,0.038,198446
CAL,20050512,0.445,0.445,0.445,0.445,20000
CAU,20050512,0.14,0.15,0.14,0.15,1091945
CAZ,20050512,0.265,0.265,0.265,0.265,17000
CBA,20050512,36.5,36.81,36.3,36.76,2526127
CBD,20050512,0.16,0.16,0.14,0.14,105680
CBH,20050512,0.26,0.27,0.255,0.27,3290409
CCE,20050512,0.31,0.31,0.295,0.3,425000
CCL,20050512,7.63,7.7,7.58,7.69,2498388
CCO,20050512,0.003,0.004,0.003,0.004,3725000
CCP,20050512,2.84,2.84,2.76,2.84,29924
CCV,20050512,0.25,0.25,0.25,0.25,40000
CDA,20050512,1.49,1.5,1.49,1.5,42850
CDD,20050512,2.5,2.56,2.5,2.56,10200
CDF,20050512,1.39,1.39,1.389,1.389,3509
CDO,20050512,5.09,5.1,4.87,4.9,978099
CDP,20050512,3.2,3.2,3.2,3.2,5500
CDR,20050512,2.06,2.07,2.05,2.07,744931
CDS,20050512,0.069,0.069,0.06,0.06,157902
CDX,20050512,2.1,2.1,2,2.1,498170
CEG,20050512,1.1,1.15,1.1,1.15,65000
CEQ,20050512,2.08,2.08,2.08,2.08,3980
CEY,20050512,4.78,4.79,4.65,4.78,492044
CFI,20050512,0.64,0.645,0.64,0.645,26205
CFK,20050512,0.485,0.485,0.475,0.475,52631
CFR,20050512,0.02,0.02,0.019,0.02,433080
CFU,20050512,0.57,0.57,0.565,0.57,20000
CGF,20050512,2.9,2.97,2.87,2.93,513002
CGS,20050512,0.092,0.092,0.07,0.07,1747499
CGX,20050512,0.64,0.64,0.64,0.64,21750
CHB,20050512,32,32,32,32,213
CHF,20050512,0.38,0.38,0.38,0.38,17695
CHL,20050512,0.135,0.135,0.13,0.13,248674
CHO,20050512,4.71,4.71,4.7,4.7,10349
CHP,20050512,0.045,0.045,0.045,0.045,20000
CHQ,20050512,0.7,0.7,0.7,0.7,2000
CHT,20050512,0.014,0.014,0.014,0.014,2000000
CHX,20050512,1.005,1.005,0.99,0.99,115032
CHY,20050512,1.705,1.71,1.705,1.71,230138
CIG,20050512,0.028,0.028,0.027,0.027,1825000
CIN,20050512,14.06,14.06,14.06,14.06,2773
CIR,20050512,1.34,1.34,1.28,1.28,17634
CIX,20050512,0.42,0.43,0.42,0.43,461250
CIY,20050512,3.87,4.12,3.87,4.03,319478
CKL,20050512,0.59,0.6,0.59,0.6,70000
CKR,20050512,0.455,0.455,0.455,0.455,31400
CLB,20050512,0.039,0.04,0.037,0.037,304000
CLF,20050512,0.34,0.34,0.305,0.315,359800
CLH,20050512,1.345,1.345,1.31,1.31,195499
CLO,20050512,0.47,0.47,0.47,0.47,20371
CLT,20050512,1.43,1.48,1.43,1.465,39543
CLV,20050512,0.205,0.21,0.2,0.2,315371
CLX,20050512,0.72,0.72,0.72,0.72,4000
CMI,20050512,1.28,1.29,1.255,1.255,33628
CMK,20050512,0.5,0.5,0.5,0.5,10000
CML,20050512,8.85,8.92,8.73,8.92,4400425
CMO,20050512,0.016,0.016,0.014,0.014,450000
CMP,20050512,0.235,0.235,0.235,0.235,5000
CMQ,20050512,1.35,1.405,1.33,1.355,67758
CMR,20050512,0.69,0.76,0.69,0.76,116350
CMS,20050512,0.047,0.047,0.047,0.047,16000
CMW,20050512,0.26,0.26,0.26,0.26,21350
