AAA,19990430,2.11,2.12,2.08,2.1,579698
AAP,19990430,5.4,5.4,5.33,5.4,597651
AAR,19990430,0.02,0.021,0.02,0.02,1070000
AAT,19990430,1.735,1.735,1.65,1.65,23975
AAV,19990430,0.32,0.32,0.31,0.31,93202
ABC,19990430,0.86,0.88,0.86,0.87,722095
ABD,19990430,0.032,0.032,0.032,0.032,10000
ABG,19990430,2.495,2.53,2.49,2.5,29448
ACI,19990430,0.12,0.14,0.12,0.14,15000
ACY,19990430,0.8,0.8,0.79,0.8,571072
ADA,19990430,1.18,1.19,1.18,1.19,7050
ADB,19990430,5.9,5.92,5.75,5.78,178902
ADF,19990430,0.075,0.09,0.075,0.09,233081
ADG,19990430,1.9,1.91,1.9,1.91,17193
ADH,19990430,0.11,0.115,0.09,0.11,262700
ADM,19990430,0.066,0.066,0.066,0.066,10000
ADX,19990430,0.173,0.173,0.165,0.165,22000
ADZ,19990430,2.85,2.88,2.85,2.85,25539
AEC,19990430,0.95,0.95,0.95,0.95,705000
AEG,19990430,0.08,0.08,0.078,0.08,1111735
AEL,19990430,0.26,0.27,0.25,0.25,1278668
AET,19990430,0.2,0.2,0.2,0.2,34000
AFF,19990430,0.275,0.275,0.27,0.27,39865
AFI,19990430,2.873,2.88,2.82,2.84,373457
AGA,19990430,0.027,0.027,0.027,0.027,50000
AGH,19990430,0.61,0.62,0.6,0.62,670500
AGL,19990430,10.796,10.85,10.51,10.7,495666
AGM,19990430,0.06,0.062,0.06,0.062,45000
AGR,19990430,0.205,0.21,0.205,0.21,24000
AGS,19990430,0.016,0.016,0.016,0.016,605000
AHD,19990430,4.21,4.21,4.179,4.179,8350
AHX,19990430,0.98,0.98,0.97,0.97,171392
AIE,19990430,0.285,0.285,0.27,0.275,248822
AIP,19990430,1.1,1.12,1.1,1.12,190308
AIX,19990430,2.24,2.24,2.21,2.21,79909
AJO,19990430,1.73,1.75,1.73,1.75,741481
AJR,19990430,0.87,0.87,0.85,0.85,125410
AJS,19990430,1.02,1.03,1.02,1.03,286425
AKC,19990430,3.94,3.95,3.9,3.95,32618
ALA,19990430,0.4,0.4,0.39,0.4,96200
ALK,19990430,0.26,0.27,0.26,0.26,31259
ALL,19990430,9.7,9.75,9.5,9.68,108802
ALO,19990430,1.17,1.2,1.17,1.2,2040
ALZ,19990430,1.3,1.35,1.3,1.3,27800
AMC,19990430,8,8.24,8,8.139,1442077
AMG,19990430,0.1,0.1,0.1,0.1,98900
AMI,19990430,0.068,0.068,0.068,0.068,40000
AML,19990430,1.2,1.2,1.15,1.17,528401
AMP,19990430,17.45,17.65,17.38,17.65,3883117
AMS,19990430,0.074,0.074,0.073,0.073,21000
AMU,19990430,0.1,0.105,0.1,0.105,44400
ANE,19990430,2.05,2.08,2.05,2.08,29917
ANF,19990430,1.12,1.2,1.12,1.2,52500
ANK,19990430,0.87,0.87,0.86,0.86,18090
ANL,19990430,3.15,3.15,3,3,39241
ANR,19990430,0.14,0.14,0.14,0.14,40000
ANX,19990430,0.25,0.29,0.24,0.25,3531501
ANZ,19990430,12.32,12.32,11.93,11.97,23788865
AOF,19990430,1.21,1.21,1.18,1.189,335292
AOG,19990430,1.7,1.75,1.7,1.73,44110
AOV,19990430,0.085,0.085,0.085,0.085,10000
APF,19990430,1.44,1.46,1.42,1.429,526504
APG,19990430,0.025,0.025,0.023,0.025,75000
API,19990430,2.16,2.17,2.15,2.15,19082
APN,19990430,2.7,2.75,2.62,2.62,120508
APU,19990430,0.28,0.28,0.28,0.28,4000
APY,19990430,1.1,1.15,1.1,1.13,23500
AQL,19990430,0.36,0.36,0.36,0.36,25000
AQS,19990430,0.75,0.75,0.75,0.75,2000
ARA,19990430,0.7,0.71,0.7,0.71,30503
ARC,19990430,0.145,0.145,0.14,0.14,26000
ARF,19990430,1.4,1.4,1.4,1.4,550
ARG,19990430,3.616,3.67,3.616,3.64,32336
ARL,19990430,3.2,3.21,3.18,3.21,108978
ARO,19990430,0.5,0.5,0.5,0.5,12500
ARQ,19990430,0.24,0.24,0.24,0.24,5000
ARX,19990430,0.073,0.073,0.073,0.073,151500
ASB,19990430,1.59,1.61,1.59,1.61,710850
ASE,19990430,0.17,0.17,0.17,0.17,5882
ASG,19990430,0.021,0.021,0.018,0.018,692812
ASH,19990430,0.69,0.79,0.69,0.76,3167258
ASL,19990430,0.49,0.5,0.485,0.485,25480
ASN,19990430,0.14,0.14,0.12,0.12,20000
ASU,19990430,0.073,0.073,0.073,0.073,100000
ASX,19990430,14.113,14.25,13.98,14.25,203290
ATD,19990430,0.03,0.032,0.028,0.032,316899
ATE,19990430,0.03,0.03,0.03,0.03,100000
ATP,19990430,0.15,0.15,0.15,0.15,5000
AUC,19990430,0.87,0.87,0.87,0.87,41600
AUD,19990430,3.05,3.1,3.05,3.1,24298
AUG,19990430,0.96,1.03,0.96,1.02,154249
AUI,19990430,3.19,3.2,3.1,3.1,6500
AUL,19990430,0.074,0.075,0.07,0.075,422754
AUO,19990430,0.16,0.17,0.16,0.16,135000
AVJ,19990430,0.46,0.46,0.46,0.46,133000
AVL,19990430,0.049,0.049,0.047,0.047,57950
AVR,19990430,0.43,0.43,0.42,0.43,267208
AWA,19990430,0.71,0.72,0.71,0.71,743667
AWH,19990430,1.98,2,1.98,2,40175
AWI,19990430,0.32,0.32,0.29,0.32,325440
AXI,19990430,0.07,0.07,0.07,0.07,11272
AXR,19990430,0.21,0.21,0.195,0.195,170000
AYO,19990430,0.295,0.32,0.295,0.31,81154
AZL,19990430,0.195,0.2,0.195,0.2,139345
BAE,19990430,0.06,0.06,0.06,0.06,90000
BAH,19990430,0.235,0.235,0.235,0.235,56000
BAT,19990430,31,31,31,31,444
BCD,19990430,1.4,1.4,1.37,1.38,78437
BCH,19990430,0.49,0.49,0.48,0.49,422800
BDG,19990430,0.099,0.1,0.095,0.095,124450
BDL,19990430,0.61,0.63,0.61,0.63,11087
BEN,19990430,6.16,6.22,6.08,6.093,25011
BGD,19990430,0.22,0.22,0.22,0.22,5000
BGF,19990430,0.08,0.08,0.08,0.08,49000
BHP,19990430,16.85,17.35,16.85,17.084,19242583
BHT,19990430,0.75,0.75,0.72,0.736,382700
BII,19990430,0.24,0.24,0.23,0.23,164166
BIL,19990430,43.7,44.5,43.7,44.405,475735
BIR,19990430,1.14,1.15,1.1,1.11,368261
BKL,19990430,5.05,5.25,5.05,5.25,79062
BKR,19990430,0.295,0.295,0.295,0.295,40000
BKS,19990430,0.022,0.023,0.021,0.023,370000
BKW,19990430,39.5,39.5,39.5,39.5,430
BLO,19990430,0.22,0.22,0.205,0.205,769000
BLR,19990430,0.175,0.175,0.165,0.165,427000
BMX,19990430,0.165,0.165,0.165,0.165,129000
BOA,19990430,0.7,0.7,0.7,0.7,6374
BOC,19990430,0.175,0.175,0.175,0.175,804
BOG,19990430,0.23,0.255,0.23,0.255,708100
BOR,19990430,2.43,2.48,2.42,2.47,2489727
BPC,19990430,0.365,0.37,0.36,0.365,2042270
BPT,19990430,0.029,0.029,0.028,0.029,1445638
BQD,19990430,6.107,6.12,6.1,6.1,14070
BRI,19990430,0.235,0.24,0.235,0.24,58250
BRL,19990430,6.75,6.75,6.65,6.75,87284
BRN,19990430,0.3,0.3,0.3,0.3,10648
BRS,19990430,1.31,1.31,1.28,1.28,306420
BRY,19990430,0.44,0.44,0.43,0.435,1606645
