AAA,19991122,2.99,2.99,2.97,2.97,5374708
AAP,19991122,4.605,4.72,4.56,4.72,207143
AAR,19991122,0.028,0.028,0.024,0.024,44500
AAT,19991122,1.2,1.23,1.17,1.19,318488
AAU,19991122,1.42,1.42,1.36,1.4,165038
ABC,19991122,0.72,0.72,0.71,0.71,100494
ABG,19991122,2.25,2.26,2.25,2.25,29000
ACY,19991122,0.79,0.79,0.78,0.79,62440
ADA,19991122,3.69,3.81,3.69,3.8,63628
ADB,19991122,5.32,5.32,5.26,5.28,52443
ADF,19991122,0.25,0.26,0.25,0.25,344500
ADG,19991122,2,2,2,2,12000
ADH,19991122,0.098,0.098,0.098,0.098,124390
ADM,19991122,0.07,0.07,0.07,0.07,30000
ADN,19991122,0.083,0.083,0.083,0.083,50000
ADP,19991122,2.24,2.27,2.24,2.27,226778
ADT,19991122,1.5,1.5,1.5,1.5,100
ADX,19991122,0.135,0.135,0.135,0.135,20000
ADZ,19991122,2.42,2.45,2.4,2.45,14714
AEC,19991122,0.95,0.99,0.95,0.99,13500
AEG,19991122,0.265,0.3,0.265,0.27,776032
AEX,19991122,0.032,0.032,0.032,0.032,500000
AFD,19991122,0.43,0.43,0.43,0.43,10000
AFF,19991122,0.29,0.29,0.29,0.29,1555
AFI,19991122,3.117,3.16,3.1,3.1,185098
AGG,19991122,89,89,88,88,1501
AGH,19991122,0.67,0.67,0.66,0.67,100006
AGL,19991122,9.005,9.08,8.97,9,336181
AGM,19991122,0.08,0.08,0.075,0.08,479236
AGR,19991122,0.13,0.13,0.13,0.13,14500
AGS,19991122,0.145,0.15,0.145,0.15,76665
AGT,19991122,0.36,0.365,0.345,0.36,315391
AGY,19991122,0.185,0.19,0.185,0.19,87300
AHD,19991122,4,4.1,4,4.1,7949
AHH,19991122,0.495,0.5,0.495,0.5,10639
AHX,19991122,0.7,0.71,0.69,0.7,45028
AIE,19991122,0.25,0.25,0.245,0.25,271000
AIG,19991122,0.11,0.11,0.11,0.11,3500
AIP,19991122,1.09,1.09,1.07,1.07,240428
AIS,19991122,0.24,0.24,0.24,0.24,8000
AIU,19991122,0.06,0.06,0.06,0.06,43578
AIX,19991122,1.916,1.916,1.89,1.9,81340
AIZ,19991122,2.5,2.5,2.45,2.5,10203
AJL,19991122,1.01,1.01,1,1,19119
AJO,19991122,1.7,1.7,1.67,1.68,34410
AJR,19991122,0.81,0.82,0.8,0.81,374524
AJS,19991122,1.08,1.08,1.07,1.07,37484
AKC,19991122,3.5,3.5,3.42,3.42,2471
AKD,19991122,0.045,0.045,0.042,0.042,268014
ALA,19991122,0.325,0.33,0.325,0.325,95046
ALL,19991122,19.9,20,19.7,19.99,118918
ALO,19991122,1.05,1.05,1.05,1.05,10000
ALZ,19991122,1.48,1.48,1.48,1.48,41500
AMC,19991122,7,7,6.95,6.96,2488501
AMG,19991122,0.08,0.08,0.08,0.08,24500
AMI,19991122,0.045,0.045,0.045,0.045,138267
AML,19991122,0.792,0.84,0.792,0.83,78608
AMP,19991122,15.017,15.05,14.72,14.8,1742450
AMS,19991122,0.115,0.115,0.115,0.115,7000
AMU,19991122,0.16,0.16,0.155,0.16,47700
AMW,19991122,27,27.1,27,27,1151
ANE,19991122,2.2,2.2,2.2,2.2,19000
ANK,19991122,0.54,0.56,0.54,0.55,16200
ANL,19991122,2.7,2.72,2.5,2.531,279286
ANR,19991122,0.23,0.23,0.23,0.23,20000
ANX,19991122,0.57,0.57,0.55,0.55,147621
ANZ,19991122,11.4,11.56,11.4,11.56,2219461
AOF,19991122,1.14,1.15,1.14,1.14,144246
AOG,19991122,1.75,1.77,1.75,1.75,31606
AOV,19991122,0.13,0.13,0.12,0.12,207971
APF,19991122,1.48,1.48,1.47,1.47,1874717
APG,19991122,0.071,0.071,0.07,0.07,203099
API,19991122,2.23,2.23,2.2,2.2,86534
APN,19991122,3.05,3.1,3.05,3.1,46803
APU,19991122,0.185,0.19,0.185,0.185,310000
APY,19991122,0.77,0.8,0.74,0.8,150893
AQL,19991122,0.47,0.47,0.47,0.47,1000
AQP,19991122,1.952,2.05,1.95,2,567912
ARA,19991122,0.76,0.76,0.72,0.72,81384
ARC,19991122,0.115,0.115,0.115,0.115,100000
ARG,19991122,3.6,3.6,3.55,3.55,48420
ARL,19991122,3.09,3.1,3.06,3.06,204514
ARQ,19991122,0.225,0.225,0.215,0.215,136302
ASB,19991122,2.5,2.5,2.45,2.5,1053000
ASC,19991122,0.44,0.44,0.42,0.43,79917
ASE,19991122,0.145,0.145,0.145,0.145,155000
ASH,19991122,0.684,0.7,0.66,0.66,476380
ASL,19991122,0.47,0.47,0.46,0.46,13753
ASR,19991122,0.65,0.65,0.65,0.65,7000
ASU,19991122,0.085,0.085,0.085,0.085,29954
ASX,19991122,9.7,9.7,9.61,9.68,206063
