AAA,19990210,2.38,2.38,2.34,2.35,320572
AAP,19990210,4.332,4.35,4.21,4.283,756622
AAR,19990210,0.02,0.02,0.02,0.02,1000000
AAT,19990210,1.32,1.33,1.27,1.28,131300
AAV,19990210,0.55,0.55,0.51,0.51,76500
ABC,19990210,0.92,0.92,0.89,0.91,184177
ABD,19990210,0.039,0.039,0.039,0.039,49749
ABG,19990210,2.25,2.25,2.2,2.2,15500
ABN,19990210,0.85,0.85,0.85,0.85,3375
ABR,19990210,0.06,0.06,0.06,0.06,55000
ACI,19990210,0.125,0.125,0.125,0.125,75000
ACY,19990210,0.83,0.83,0.81,0.81,195177
ADA,19990210,1.3,1.32,1.3,1.3,14074
ADB,19990210,6.11,6.2,6.1,6.2,21198
ADF,19990210,0.1,0.1,0.1,0.1,4900
ADG,19990210,1.94,1.94,1.94,1.94,15500
ADH,19990210,0.2,0.2,0.19,0.2,21751
ADN,19990210,0.095,0.095,0.086,0.086,16212
ADT,19990210,1.6,1.6,1.6,1.6,1300
ADX,19990210,0.18,0.18,0.175,0.175,30000
ADZ,19990210,3.15,3.15,3.1,3.12,8864
AEL,19990210,0.28,0.295,0.28,0.295,391350
AEV,19990210,0.04,0.048,0.04,0.048,185000
AFF,19990210,0.28,0.28,0.27,0.27,100696
AFI,19990210,2.91,2.95,2.88,2.88,172457
AFK,19990210,0.087,0.088,0.087,0.087,197500
AGA,19990210,0.05,0.05,0.047,0.047,246865
AGH,19990210,0.73,0.73,0.72,0.72,146000
AGL,19990210,11.1,11.2,11.03,11.05,520094
AGM,19990210,0.04,0.05,0.04,0.05,305250
AGR,19990210,0.35,0.35,0.35,0.35,8000
AGS,19990210,0.017,0.017,0.017,0.017,120000
AHA,19990210,12,12,12,12,94
AHC,19990210,0.65,0.65,0.61,0.61,7500
AHD,19990210,4.17,4.17,4.12,4.12,3180
AHX,19990210,1.26,1.27,1.26,1.27,49906
AIP,19990210,1.11,1.11,1.1,1.11,697725
AIS,19990210,0.22,0.22,0.22,0.22,40000
AIX,19990210,2.26,2.28,2.25,2.27,59366
AJO,19990210,1.73,1.74,1.72,1.72,48442
AJR,19990210,0.92,0.93,0.92,0.92,93579
AJS,19990210,1,1.01,0.99,1,317500
AKC,19990210,4,4,3.95,3.95,500
AKD,19990210,0.035,0.035,0.031,0.031,20000
AKL,19990210,0.15,0.155,0.15,0.155,131426
ALA,19990210,0.54,0.54,0.52,0.52,55102
ALK,19990210,0.32,0.32,0.295,0.3,100000
ALL,19990210,8.445,8.46,8.4,8.45,385593
ALO,19990210,0.93,0.93,0.93,0.93,40000
ALZ,19990210,1.22,1.22,1.21,1.21,94800
AMC,19990210,7.415,7.415,7.26,7.32,829643
AMG,19990210,0.12,0.12,0.12,0.12,145000
AMI,19990210,0.082,0.085,0.08,0.081,358000
AML,19990210,1.5,1.5,1.45,1.5,50650
AMP,19990210,18.981,19.04,18.9,18.95,1931312
AMS,19990210,0.055,0.055,0.055,0.055,1200
AMV,19990210,0.1,0.1,0.1,0.1,250
AMW,19990210,14.2,14.4,14.2,14.2,1435
ANE,19990210,1.75,1.75,1.74,1.74,131980
ANI,19990210,1.28,1.28,1.25,1.27,155932
ANK,19990210,0.68,0.68,0.68,0.68,4600
ANL,19990210,2.06,2.12,2.06,2.1,97254
ANZ,19990210,10.3,10.33,10.23,10.29,2272851
AOF,19990210,1.21,1.21,1.2,1.2,2142956
AOG,19990210,1.65,1.66,1.64,1.65,266999
AOV,19990210,0.11,0.11,0.105,0.105,2978
APF,19990210,1.45,1.45,1.41,1.44,752336
APG,19990210,0.027,0.027,0.027,0.027,398026
API,19990210,2.22,2.25,2.22,2.25,10337
APN,19990210,2.46,2.48,2.46,2.46,26615
APW,19990210,3.03,3.1,3.03,3.1,9098
