AAA,19970327,2.03,2.03,2.02,2.03,441800
AAD,19970327,0.75,0.77,0.75,0.77,105300
ABC,19970327,1.76,1.82,1.76,1.8,46600
ABF,19970327,3.749,3.75,3.73,3.75,136600
ABG,19970327,3.6,3.6,3.55,3.6,55400
ACH,19970327,3.67,3.69,3.67,3.68,45000
ADB,19970327,4.07,4.07,4.02,4.02,68200
ADF,19970327,0.14,0.14,0.14,0.14,90000
ADG,19970327,1.4,1.4,1.4,1.4,1000
ADH,19970327,0.84,0.85,0.84,0.85,22600
ADM,19970327,0.28,0.28,0.265,0.265,61400
ADT,19970327,177,178,177,178,15000
ADX,19970327,0.3,0.3,0.3,0.3,6000
AEC,19970327,1.28,1.3,1.27,1.27,6500
AET,19970327,2.48,2.85,2.48,2.85,16300
AEV,19970327,0.045,0.045,0.045,0.045,100
AEX,19970327,0.058,0.058,0.058,0.058,50000
AFI,19970327,2.13,2.15,2.12,2.14,372100
AFN,19970327,0.95,1,0.95,1,67700
AGA,19970327,0.252,0.27,0.25,0.27,428700
AGE,19970327,13.2,13.2,13.2,13.2,10100
AGL,19970327,7.267,7.3,7.22,7.25,1010800
AGM,19970327,0.62,0.62,0.6,0.6,209200
AGR,19970327,1.28,1.29,1.27,1.29,59100
AGS,19970327,0.335,0.34,0.33,0.34,66000
AHA,19970327,18.3,18.3,18.3,18.3,2000
AHD,19970327,6.1,6.3,6.1,6.3,58500
AHG,19970327,0.79,0.8,0.79,0.8,73300
AHX,19970327,2.23,2.29,2.22,2.29,16800
AIE,19970327,0.095,0.095,0.095,0.095,30000
AIF,19970327,0.65,0.65,0.65,0.65,25100
AJF,19970327,0.075,0.075,0.075,0.075,6200
AJO,19970327,2.21,2.23,2.21,2.23,22800
AJR,19970327,0.82,0.84,0.81,0.83,214400
AKC,19970327,4.1,4.15,4.1,4.15,6200
AKD,19970327,0.115,0.115,0.115,0.115,193000
AKL,19970327,0.385,0.39,0.385,0.39,22000
ALA,19970327,0.16,0.16,0.15,0.15,1074300
ALK,19970327,0.49,0.49,0.49,0.49,1300
ALL,19970327,2.7,2.8,2.67,2.7,27200
ALM,19970327,0.175,0.175,0.17,0.175,171900
ALO,19970327,0.72,0.72,0.72,0.72,10000
AMC,19970327,8.17,8.22,8.13,8.2,891300
AML,19970327,1.985,2.02,1.98,2.02,90100
AMW,19970327,51,51,51,51,100
ANC,19970327,2.06,2.06,2.06,2.06,4200
ANE,19970327,3.13,3.15,3.13,3.15,48400
ANI,19970327,1.4,1.45,1.4,1.44,976200
