AAC,20060202,1.675,1.675,1.65,1.655,179459
AAE,20060202,0.37,0.38,0.36,0.38,50653
AAM,20060202,0.27,0.27,0.27,0.27,7400
AAO,20060202,0.28,0.33,0.28,0.33,323683
AAQ,20060202,0.43,0.43,0.43,0.43,7000
AAR,20060202,0.031,0.033,0.026,0.027,17353255
AAT,20060202,0.105,0.105,0.105,0.105,20672
AAU,20060202,0.665,0.68,0.665,0.68,29000
ABB,20060202,7,7.04,6.97,7,112548
ABC,20060202,2.17,2.17,2.09,2.11,686063
ABI,20060202,0.056,0.06,0.056,0.059,412721
ABJ,20060202,1.075,1.075,1.05,1.05,89862
ABP,20060202,1.43,1.435,1.425,1.425,207834
ABQ,20060202,0.195,0.195,0.195,0.195,41538
ABS,20060202,7.4,7.49,7.36,7.42,1633711
ACG,20060202,0.47,0.47,0.46,0.465,138300
ACL,20060202,1.17,1.2,1.17,1.2,102683
ACR,20060202,0.63,0.635,0.63,0.63,120000
ACS,20060202,0.17,0.17,0.17,0.17,45000
ACU,20060202,0.135,0.185,0.135,0.165,12257782
ADB,20060202,13.45,13.45,12.69,12.8,557147
ADG,20060202,3.29,3.29,3.22,3.22,5000
ADI,20060202,0.235,0.25,0.235,0.245,176834
ADL,20060202,0.07,0.07,0.07,0.07,339
ADN,20060202,0.495,0.505,0.485,0.505,164300
ADT,20060202,1.355,1.41,1.355,1.41,51966
ADU,20060202,0.8,0.85,0.8,0.82,493500
ADX,20060202,0.13,0.13,0.13,0.13,6000
ADY,20060202,0.115,0.115,0.11,0.11,1082253
ADZ,20060202,1.965,2,1.965,1.99,1642930
AEC,20060202,3.05,3.05,3.05,3.05,7000
AED,20060202,0.9,0.91,0.89,0.89,360390
AEI,20060202,0.62,0.62,0.62,0.62,8550
AEN,20060202,1.92,1.92,1.92,1.92,907120
AEO,20060202,1.67,1.67,1.64,1.64,228551
AET,20060202,0.43,0.43,0.4,0.4,17000
AEU,20060202,1.61,1.61,1.59,1.6,115473
AEX,20060202,0.035,0.04,0.034,0.037,57717518
AEZ,20060202,1.09,1.1,1.09,1.1,75301
AFI,20060202,4.55,4.63,4.55,4.56,206585
AFS,20060202,0.048,0.05,0.048,0.05,35000
AFT,20060202,0.025,0.027,0.024,0.026,19844741
AGC,20060202,1.52,1.6,1.52,1.545,209243
AGG,20060202,16.05,16.2,16.05,16.05,6152
AGI,20060202,0.475,0.48,0.47,0.47,104750
AGL,20060202,18,18.2,17.82,17.82,3487752
AGM,20060202,0.19,0.205,0.19,0.2,1823599
AGO,20060202,0.415,0.42,0.38,0.4,539916
AGS,20060202,0.295,0.295,0.285,0.29,1572885
AGX,20060202,0.315,0.315,0.295,0.295,210721
AGZ,20060202,0.27,0.27,0.265,0.265,122358
AHD,20060202,4.25,4.25,4.2,4.25,61646
AHE,20060202,1.13,1.14,1.13,1.13,216000
AHS,20060202,1.15,1.155,1.145,1.155,122808
